title,description,poster_url
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.,https://image.tmdb.org/t/p/w500/2yiDQCDj7hlq2SwLojV9xrFkCnr.jpg
Psycho-Pass: The Movie,"In this sequel to Psycho-Pass TV show, Inspector Tsunemori is sent to a neighboring war-torn nation, where the Sibyl System is being introduced as an experiment, to find Shinya Kogami, her former enforcer who went rogue three years ago.",https://image.tmdb.org/t/p/w500/hUlhPosXp62uuTS0c2aINdg8cvV.jpg
L'impasse. La route.,"An exploration of the dead-ends in downtown Paris juxtaposed with the endless roads of Russia, as a metaphor to the lives of their inhabitants. A musical of techno loops, boundless tracks of humans in transit.",https://image.tmdb.org/t/p/w500/8kbre22DxeAqN4KYPUmctJv3uOG.jpg
X: First Class,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",https://image.tmdb.org/t/p/w500/gionQv04AWnRaDMNvBF24uJMSTf.jpg
Broken Chains,Brianna married a man she thought would protect her forever. But soon discovers Vincenzo has a dark secret and an evil family with connections controlling his narcissistic sociopathic traits and will go to any lengths to keep the secret controlled and hidden.,https://image.tmdb.org/t/p/w500/4suJKzLWnIo8GHN6FJNDVRVE9eN.jpg
Z Joke,"The biogenetics genius Leonid has been researching a cure for cancer. Instead, he discovers a virus which threatens humanity with infertility. Being chased by the secret service, Leonid hides in the theatre run by his best friend Steven.",https://image.tmdb.org/t/p/w500/2d52Tfwja9kdyDizmtki6B1dKnK.jpg
Prayer to a Vengeful God,"The story of a man caught in a whirlpool of grief and rage over the murder of his wife, Prayer to a Vengeful God is contemporary revenge drama, presented in an austere visual style, completely without dialogue.",https://image.tmdb.org/t/p/w500/y0NYHClFsqkq0dKf6STTxDbGA1o.jpg
Lakadbaggha,"An animal loving vigilante Arjun Bakshi, unearths the fact that an underground illegal animal trade cell functions from Kolkata port. On investigating he chances upon a rare species of the Indian Striped Hyena (Lakadbaggha).",https://image.tmdb.org/t/p/w500/tgyHSVTw42PMHxnq0KOXbTVwu5C.jpg
Jack Stone: Rogue Albion,"The death of a fellow agent sends Jack Stone on the trail of Rogue Albion, a mysterious organization led by a young billionaire. The assignment also forces him to the most revolting decision of his career.",https://via.placeholder.com/300x450.png?text=No+Image
Evangelion: 3.0+1.01 Thrice Upon a Time,"The fourth and final installment of the Rebuild of Evangelion. Misato and her anti-Nerv group Wille arrive in Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower.",https://image.tmdb.org/t/p/w500/md5wZRRj8biHrGtyitgBZo7674t.jpg
